href,name,born,died,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Henry_Abbey,Henry Abbey,1842,1911,"Rondout, New York",,-73.9851381,41.920648,0,0
https://en.wikipedia.org/wiki/Arthur_Talmage_Abernethy,Arthur Talmage Abernethy,1872,1956,,"Asheville, North Carolina",0,0,-82.5528478,35.595076
https://en.wikipedia.org/wiki/Sam_Abrams,Sam Abrams,1935,,,,0,0,0,0
https://en.wikipedia.org/wiki/Seth_Abramson,Seth Abramson,1976,,"Concord, Massachusetts",,-71.3488963,42.4605189,0,0
https://en.wikipedia.org/wiki/Diane_Ackerman,Diane Ackerman,1948,,,,0,0,0,0
https://en.wikipedia.org/wiki/Duane_Ackerson,Duane Ackerson,1942,2020,New York City,"Salem, Oregon",-74.0060152,40.7127281,-123.033121,44.9391565
https://en.wikipedia.org/wiki/Mercedes_de_Acosta,Mercedes de Acosta,1893,1968,,,0,0,0,0
https://en.wikipedia.org/wiki/Virginia_Hamilton_Adair,Virginia Hamilton Adair,1913,2004,,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Adam,Helen Adam,1909,1993,Glasgow,New York City,-4.2501687,55.861155,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/John_Adams_(poet),John Adams (poet),1704,1740,,,0,0,0,0
https://en.wikipedia.org/wiki/L%C3%A9onie_Adams,Léonie Adams,1899,1988,"Brooklyn, New York","New Milford, Connecticut",-73.9497211,40.6526006,-73.4105803,41.5770993
https://en.wikipedia.org/wiki/Kim_Addonizio,Kim Addonizio,1954,,"Washington, D.C.",,-77.0365427,38.8950368,0,0
https://en.wikipedia.org/wiki/James_Agee,James Agee,1909,1955,"Knoxville, Tennessee",New York City,-83.9210261,35.9603948,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Deborah_Ager,Deborah Ager,1971,,"Bethesda, Maryland",,-77.0942447,38.9846816,0,0
https://en.wikipedia.org/wiki/Kelli_Russell_Agodon,Kelli Russell Agodon,1969,,Seattle,,-122.330062,47.6038321,0,0
https://en.wikipedia.org/wiki/Julie_Agoos,Julie Agoos,1956,,,,0,0,0,0
https://en.wikipedia.org/wiki/Ai_(poet),Ai (poet),1947,2010,"Albany, Texas","Stillwater, Oklahoma",-99.2946024,32.728072,-97.0585717,36.1156306
https://en.wikipedia.org/wiki/Conrad_Aiken,Conrad Aiken,1889,1973,"Savannah, Georgia",,-81.0921335,32.0790074,0,0
https://en.wikipedia.org/wiki/Ammiel_Alcalay,Ammiel Alcalay,1956,,,,0,0,0,0
https://en.wikipedia.org/wiki/Amos_Bronson_Alcott,Amos Bronson Alcott,1799,1888,"Wolcott, Connecticut","Boston, Massachusetts",-72.9867718,41.6023196,-71.060511,42.3554334
https://en.wikipedia.org/wiki/Louisa_May_Alcott,Louisa May Alcott,1832,1888,"Germantown, Philadelphia",Boston,-75.1801775,40.0434449,-71.060511,42.3554334
https://en.wikipedia.org/wiki/Sherman_Alexie,Sherman Alexie,1966,,"Spokane, Washington",,-117.42351,47.6571934,0,0
https://en.wikipedia.org/wiki/Felipe_Alfau,Felipe Alfau,1902,1999,,New York City,0,0,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Kazim_Ali,Kazim Ali,1971,,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Allegrezza,William Allegrezza,1974,,,,0,0,0,0
https://en.wikipedia.org/wiki/Dick_Allen_(poet),Dick Allen (poet),1939,2017,,"Bridgeport, Connecticut",0,0,-73.2048348,41.1670412
https://en.wikipedia.org/wiki/Donald_Allen,Donald Allen,1912,2004,,,0,0,0,0
https://en.wikipedia.org/wiki/Elizabeth_Akers_Allen,Elizabeth Akers Allen,1832,1911,"Strong, Maine","Tuckahoe (village), New York",-70.2206434,44.8075611,-73.827356,40.9503764
https://en.wikipedia.org/wiki/Ron_Allen_(playwright),Ron Allen (playwright),1947,2010,"Detroit, Michigan","Los Angeles, California",-83.0466403,42.3315509,-118.242766,34.0536909
https://en.wikipedia.org/wiki/Washington_Allston,Washington Allston,1779,1843,"Georgetown, South Carolina","Cambridge, Massachusetts",-79.3343041,33.4392245,-71.1040018,42.3655767
https://en.wikipedia.org/wiki/Alta_(poet),Alta (poet),,,,,0,0,0,0
https://en.wikipedia.org/wiki/Alurista,Alurista,1947,,Mexico City,,-99.1331785,19.4326296,0,0
https://en.wikipedia.org/wiki/Julia_%C3%81lvarez,Julia Álvarez,1950,,New York City,,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Indran_Amirthanayagam,Indran Amirthanayagam,1960,,,,0,0,0,0
https://en.wikipedia.org/wiki/A.R._Ammons,A.R. Ammons,1926,2001,"Whiteville, North Carolina","Ithaca, New York",-78.7030721,34.3387802,-76.54837235139260,42.437417500000000
https://en.wikipedia.org/wiki/Maggie_Anderson,Maggie Anderson,1948,,,,0,0,0,0
https://en.wikipedia.org/wiki/Victor_Anderson_(poet),Victor Anderson (poet),1917,2001,"Clayton, New Mexico",,-103.184797,36.4507836,0,0
https://en.wikipedia.org/wiki/Bruce_Andrews,Bruce Andrews,1948,,,,0,0,0,0
https://en.wikipedia.org/wiki/Kevin_Andrews_(writer),Kevin Andrews (writer),1924,1989,,,0,0,0,0
https://en.wikipedia.org/wiki/Ron_Androla,Ron Androla,1954,,,,0,0,0,0
https://en.wikipedia.org/wiki/Ralph_Angel,Ralph Angel,1951,2020,,,0,0,0,0
https://en.wikipedia.org/wiki/Maya_Angelou,Maya Angelou,1928,2014,St. Louis,"Winston-Salem, North Carolina",-90.1910154,38.6280278,-80.2440518,36.0998131
https://en.wikipedia.org/wiki/David_Antin,David Antin,1932,2016,,,0,0,0,0
https://en.wikipedia.org/wiki/Antler_(poet),Antler (poet),1946,,,,0,0,0,0
https://en.wikipedia.org/wiki/Susanne_Antonetta,Susanne Antonetta,1956,,,,0,0,0,0
https://en.wikipedia.org/wiki/Philip_Appleman,Philip Appleman,1926,2020,,,0,0,0,0
https://en.wikipedia.org/wiki/Rae_Armantrout,Rae Armantrout,1947,,"Vallejo, California",,-122.2566367,38.1040864,0,0
https://en.wikipedia.org/wiki/Richard_Armour_(poet),Richard Armour (poet),1906,1989,,,0,0,0,0
https://en.wikipedia.org/wiki/Craig_Arnold,Craig Arnold,1967,2009,,,0,0,0,0
https://en.wikipedia.org/wiki/Rebecca_Aronson,Rebecca Aronson,,,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Ashbery,John Ashbery,1927,2017,"Rochester, New York","Hudson, New York",-77.615214,43.157285,-73.790959,42.2528649
https://en.wikipedia.org/wiki/Joseph_Auslander,Joseph Auslander,1897,1965,"Philadelphia, Pennsylvania","Coral Gables, Florida",-75.1635262,39.9527237,-80.2683838,25.72149
https://en.wikipedia.org/wiki/Paul_Auster,Paul Auster,1947,,"Newark, New Jersey",,-74.1723667,40.735657,0,0
https://en.wikipedia.org/wiki/James_L._Avery_Sr.,James L. Avery Sr.,1948,2013,"Suffolk, Virginia","Glendale, California",-76.5835703,36.7282096,-118.2478471,34.1469416
https://en.wikipedia.org/wiki/Jody_Azzouni,Jody Azzouni,1954,,,,0,0,0,0
https://en.wikipedia.org/wiki/Jimmy_Santiago_Baca,Jimmy Santiago Baca,1952,,"Santa Fe, New Mexico",,-105.938456,35.6876096,0,0
https://en.wikipedia.org/wiki/Bellamy_Bach,Bellamy Bach,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_M._Bachelor,Joseph M. Bachelor,1889,1947,,,0,0,0,0
https://en.wikipedia.org/wiki/Margaret_Lucy_Shands_Bailey,Margaret Lucy Shands Bailey,1812,1888,,,0,0,0,0
https://en.wikipedia.org/wiki/Vyt_Bakaitis,Vyt Bakaitis,1940,,,,0,0,0,0
https://en.wikipedia.org/wiki/David_Baker_(poet),David Baker (poet),1954,,,,0,0,0,0
https://en.wikipedia.org/wiki/Julia_K._Wetherill_Baker,Julia K. Wetherill Baker,1858,1931,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Balaban_(poet),John Balaban (poet),1943,,Philadelphia,,-75.1635262,39.9527237,0,0
https://en.wikipedia.org/wiki/Jesse_Ball,Jesse Ball,1978,,"Port Jefferson, New York",,-73.0691257,40.9465118,0,0
