href,name,born,died,info,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Aarudhra,Aarudhra,1925,1968,"Indian Telugu poet, born Bhagavatula Sadasiva Sankara Sastry",Visakhapatnam,,83.30128,17.72313,0,0
https://en.wikipedia.org/wiki/Jonathan_Aaron,Jonathan Aaron,1941,0,US poet,"Northampton, Massachusetts",,-72.6311,42.3179,0,0
https://en.wikipedia.org/wiki/Chris_Abani,Chris Abani,1966,0,Nigerian poet,Afikpo,,7.93721,5.88379,0,0
https://en.wikipedia.org/wiki/Henry_Abbey,Henry Abbey,1842,1911,US poet,"Rondout, New York",,-73.98514,41.92065,0,0
https://en.wikipedia.org/wiki/Eleanor_Hallowell_Abbott,Eleanor Hallowell Abbott,1872,1958,US poet and fiction writer,"Cambridge, Massachusetts","Portsmouth, New Hampshire",-71.104,42.36558,-70.75486,43.07022
https://en.wikipedia.org/wiki/Si%C3%B4n_Abel,Siôn Abel,0,0,Welsh balladeer,,,0,0,0,0
https://en.wikipedia.org/wiki/Aria_Aber,Aria Aber,1991,0,"Afghan poet and novelist, resides in the US, writes & publishes primarily in English",,,0,0,0,0
https://en.wikipedia.org/wiki/Lascelles_Abercrombie,Lascelles Abercrombie,1881,1938,English poet and literary critic,,London,0,0,-0.14406,51.48933
https://en.wikipedia.org/wiki/Arthur_Talmage_Abernethy,Arthur Talmage Abernethy,1872,1956,"US journalist, minister, scholar; first North Carolina Poet Laureate",,"Asheville, North Carolina",0,0,-82.55084,35.59536
https://en.wikipedia.org/wiki/Sam_Abrams,Sam Abrams,1935,0,"US poet, editor and critic",,,0,0,0,0
https://en.wikipedia.org/wiki/Seth_Abramson,Seth Abramson,1976,0,US poet,"Concord, Massachusetts",,-71.3489,42.46052,0,0
https://en.wikipedia.org/wiki/Kosta_Abra%C5%A1evi%C4%87,Kosta Abrašević,1879,1898,Serbian poet,Ohrid,Šabac,20.80174,41.11702,19.6954,44.75715
https://en.wikipedia.org/wiki/Dannie_Abse,Dannie Abse,1923,2014,Welsh poet in English,Cardiff,,-3.17919,51.48165,0,0
https://en.wikipedia.org/wiki/Kathy_Acker,Kathy Acker,1947,1997,"US experimental novelist, punk poet and playwright",,Tijuana,0,0,-117.01953,32.53174
https://en.wikipedia.org/wiki/Punk_poet,punk poet,1947,1997,"US experimental novelist, punk poet and playwright",,,0,0,0,0
https://en.wikipedia.org/wiki/Diane_Ackerman,Diane Ackerman,1948,0,"US author, poet and naturalist",,,0,0,0,0
https://en.wikipedia.org/wiki/Duane_Ackerson,Duane Ackerson,1942,2020,US writer of speculative poetry and fiction,New York City,"Salem, Oregon",-74.00602,40.71273,-123.03312,44.93916
https://en.wikipedia.org/wiki/Speculative_fiction,fiction,1942,2020,US writer of speculative poetry and fiction,,,0,0,0,0
https://en.wikipedia.org/wiki/Milton_Acorn,Milton Acorn,1923,1986,"Canadian poet, writer and playwright","Charlottetown, Prince Edward Island",,-63.13294,46.23495,0,0
https://en.wikipedia.org/wiki/Harold_Acton,Harold Acton,1904,1994,"English writer, scholar and dilettante",Villa La Pietra,Villa La Pietra,11.26597,43.79578,11.26597,43.79578
https://en.wikipedia.org/wiki/J%C3%A1nos_Acz%C3%A9l_(royal_secretary),János Aczél,0,1523,Hungarian poet and provost,,,0,0,0,0
https://en.wikipedia.org/wiki/Tam%C3%A1s_Acz%C3%A9l,Tamás Aczél,1921,1994,Hungarian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Gilbert_Adair,Gilbert Adair,1944,2011,"Scottish novelist, poet and critic",,London,0,0,-0.14406,51.48933
https://en.wikipedia.org/wiki/Virginia_Hamilton_Adair,Virginia Hamilton Adair,1919,2004,US poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Adam,Helen Adam,1909,1993,"Scottish-US poet, collagist and photographer",Glasgow,New York City,-4.25017,55.86116,-74.00602,40.71273
https://en.wikipedia.org/wiki/Draginja_Adamovi%C4%87,Draginja Adamović,1925,2000,Serbian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Adams_(poet),John Adams,1704,1740,US poet,,,0,0,0,0
https://en.wikipedia.org/wiki/L%C3%A9onie_Adams,Léonie Adams,1899,1988,US poet,"Brooklyn, New York","New Milford, Connecticut",-73.94972,40.6526,-73.41058,41.5771
https://en.wikipedia.org/wiki/Ryan_Adams,Ryan Adams,1974,0,US singer-songwriter and writer,,,0,0,0,0
https://en.wikipedia.org/wiki/Hendrik_Adamson,Hendrik Adamson,1891,1946,Estonian poet,Kärstna,Tuhalaane,25.79405,58.14992,25.64905,58.17954
https://en.wikipedia.org/wiki/Fleur_Adcock,Fleur Adcock,1934,0,New Zealand poet mainly in England,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Addison,Joseph Addison,1672,1719,"English essayist, poet, writer and politician",Milston,Kensington,-1.76816,51.20648,-0.19912,51.49899
https://en.wikipedia.org/wiki/Kim_Addonizio,Kim Addonizio,1954,0,,"Washington, D.C.",,-77.03654,38.89504,0,0
https://en.wikipedia.org/wiki/Artur_Adson,Artur Adson,1889,1977,Estonian poet,Old Style and New Style dates,Stockholm,0,0,0,0
https://en.wikipedia.org/wiki/Endre_Ady,Endre Ady,1877,1919,Hungarian poet,Érmindszent,,22.61657,47.58172,0,0
https://en.wikipedia.org/wiki/Mariska_Ady,Mariska Ady,1888,1977,Hungarian poet,Hodod,Budapest,23.02502,47.4026,19.04016,47.49789
https://en.wikipedia.org/wiki/Aeschylus,Aeschylus,0,0,Athenian tragedian,Eleusis,Gela,23.53487,38.04761,14.25024,37.06644
https://en.wikipedia.org/wiki/Lucius_Afranius_(poet),Lucius Afranius,0,0,Roman comic poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Anastasia_Afanasieva,Anastasia Afanasieva,1982,0,"Ukrainian physician, poet, writer, translator",Kharkiv,,36.23101,49.99232,0,0
https://en.wikipedia.org/wiki/John_Agard,John Agard,1949,0,Afro-Guyanese poet and children's writer,,,0,0,0,0
https://en.wikipedia.org/wiki/Patience_Agbabi,Patience Agbabi,1965,0,British poet and performer,,,0,0,0,0
https://en.wikipedia.org/wiki/James_Agee,James Agee,1909,1955,"US novelist, screenwriter, and poet","Knoxville, Tennessee",New York City,-83.92103,35.96039,-74.00602,40.71273
https://en.wikipedia.org/wiki/Deborah_Ager,Deborah Ager,1977,0,US poet and editor,"Bethesda, Maryland",,-77.09424,38.98468,0,0
https://en.wikipedia.org/wiki/Istv%C3%A1n_%C3%81gh_(poet),István Ágh,1938,0,Hungarian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Kelli_Russell_Agodon,Kelli Russell Agodon,1969,0,US poet,Seattle,,-122.33006,47.60383,0,0
https://en.wikipedia.org/wiki/Drit%C3%ABro_Agolli,Dritëro Agolli,1931,2017,Albanian poet,"Devoll, Korçë",Tirana,20.95524,40.65452,19.81844,41.32815
https://en.wikipedia.org/wiki/Carlos_Mart%C3%ADnez_Aguirre,Carlos Martínez Aguirre,1974,0,Spanish poet,Madrid,,-3.70358,40.4167,0,0
https://en.wikipedia.org/wiki/Delmira_Agustini,Delmira Agustini,1886,1914,Uruguayan poet,Montevideo,,-56.19131,-34.90589,0,0
https://en.wikipedia.org/wiki/Ishaaq_bin_Ahmed,Ishaaq bin Ahmed,0,0,"Arab scholar, poet and ancestor of the Somali Isaaq clan-family",,,0,0,0,0
https://en.wikipedia.org/wiki/Isaaq,Isaaq,0,0,"Arab scholar, poet and ancestor of the Somali Isaaq clan-family",,,0,0,0,0
